+---------+-----------------+---------+---------+---------+
| Field 1 |     Field 2     | Field 3 | Field 4 | Field 5 |
+---------+-----------------+---------+---------+---------+
|    12   |        be       |    5    |   161   |    4    |
|    75   |    modulation   |   114   |   5814  |    5    |
|    33   |       AMCW      |   140   |   1262  |    6    |
|   191   |     analysed    |    73   |  36745  |    7    |
|   213   |       will      |    52   |  45634  |    8    |
|   146   |       step      |    56   |  21518  |    9    |
|   108   |    controller   |   122   |  11894  |    11   |
|    47   |   intermediate  |   111   |   2367  |    12   |
|    6    |       and       |    16   |    58   |    13   |
|    15   |     explore     |    88   |   328   |    14   |
|   144   |      first      |    67   |  20947  |    16   |
|    90   |        In       |    47   |   8237  |    18   |
|   110   |      order      |    55   |  12265  |    19   |
|    58   |       this      |    52   |   3474  |    20   |
|   170   |      period     |    61   |  29131  |    21   |
|   122   |     process     |    88   |  15094  |    22   |
|   202   |       But       |    66   |  41072  |    23   |
|    34   |       ToF       |    90   |   1280  |    24   |
|    42   |    frequency    |   105   |   1911  |    27   |
|   118   |       not       |    46   |  14088  |    29   |
|   167   |      within     |    77   |  28133  |    30   |
|    87   |      other      |    61   |   7717  |    33   |
|    2    |       high      |    28   |    34   |    34   |
|   115   |       but       |    40   |  13380  |    35   |
|    8    |     quality     |    98   |   170   |    36   |
|    73   |  aforementioned |   130   |   5532  |    37   |
|    18   |      large      |    38   |   380   |    41   |
|   129   |     periodic    |    71   |  16841  |    42   |
|   209   |      random     |    59   |  43949  |    43   |
|   121   | straightforward |   172   |  14934  |    44   |
|   124   |     Chapter     |    90   |  15590  |    47   |
|    66   |      jitter     |    76   |   4498  |    48   |
|    74   |       two       |    55   |   5605  |    49   |
|   165   |   correlation   |   119   |  27509  |    50   |
|   161   |        so       |    32   |  26114  |    52   |
|   157   |      second     |    54   |  24860  |    54   |
|    35   |     cameras     |    53   |   1313  |    57   |
|    1    |       The       |    56   |    58   |    58   |
|   192   |       with      |    56   |  37112  |    60   |
|   113   |     maximum     |    87   |  12969  |    61   |
|   198   |      during     |    67   |  39469  |    62   |
|    30   |      source     |    75   |   1005  |    63   |
|   215   |    difficult    |    81   |  46521  |    64   |
|   133   |   measurements  |   141   |  17963  |    65   |
|    3    |       AbB       |    54   |    66   |    66   |
|   197   |      steps      |    74   |  39080  |    67   |
|   126   |    influence    |    80   |  16082  |    68   |
|    38   |        a        |    0    |   1482  |    69   |
|    13   |       used      |    45   |   227   |    70   |
|    39   |     suitable    |    81   |   1641  |    71   |
|    82   |        as       |    18   |   6824  |    73   |
